path_id	name	class	description	compounds	shortName	numberOfNode	numberOfMetabolites	annotatedMetabolite	metaboliteList
1	hsa03320	PPAR signaling pathway - Homo sapiens (human)	Organismal Systems; Endocrine system	Peroxisome proliferator-activated receptors (PPARs) are nuclear hormone receptors that are activated by fatty acids and their derivatives. PPAR has three subtypes (PPARalpha, beta/delta, and gamma) showing different expression patterns in vertebrates. Each of them is encoded in a separate gene and binds fatty acids and eicosanoids. PPARalpha plays a role in the clearance of circulating or cellular lipids via the regulation of gene expression involved in lipid metabolism in liver and skeletal muscle. PPARbeta/delta is involved in lipid oxidation and cell proliferation. PPARgamma promotes adipocyte differentiation to enhance blood glucose uptake.	Leukotriene B4, 13(S)-HODE, 9(S)-HODE, 8(S)-HETE, 9-cis-Retinoic acid	PPAR signaling pathway	89	9	5	C02165+C14776,C15493,C15493,C14767+C14762,C15493
2	hsa03460	Fanconi anemia pathway - Homo sapiens (human)	Genetic Information Processing; Replication and repair	The Fanconi anemia pathway is required for the efficient repair of damaged DNA, especially interstrand cross-links (ICLs). DNA ICL is directly recognized by FANCM and associated proteins, that recruit the FA core complex. The FA core complex monoubiquitinates FANCD2 and FANCI. The monoubiquitinated FANCD2/FANCI becomes an active form and interacts with a series of DNA repair proteins and facilitates downstream repair pathways. Fanconi anemia is caused by mutations in one of at least 13 FA genes and is characterized by congenital growth abnormalities, bone marrow failure and cancer predisposition.	NA	Fanconi anemia pathway	23	0	0	
3	hsa04010	MAPK signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	The mitogen-activated protein kinase (MAPK) cascade is a highly conserved module that is involved in various cellular functions, including cell proliferation, differentiation and migration. Mammals express at least four distinctly regulated groups of MAPKs, extracellular signal-related kinases (ERK)-1/2, Jun amino-terminal kinases (JNK1/2/3), p38 proteins (p38alpha/beta/gamma/delta) and ERK5, that are activated by specific MAPKKs: MEK1/2 for ERK1/2, MKK3/6 for the p38, MKK4/7 (JNKK1/2) for the JNKs, and MEK5 for ERK5. Each MAPKK, however, can be activated by more than one MAPKKK, increasing the complexity and diversity of MAPK signalling. Presumably each MAPKKK confers responsiveness to distinct stimuli. For example, activation of ERK1/2 by growth factors depends on the MAPKKK c-Raf, but other MAPKKKs may activate ERK1/2 in response to pro-inflammatory stimuli.	Calcium cation, Diacylglycerol, Lipopolysaccharide, 3',5'-Cyclic AMP, D-myo-Inositol 1,4,5-trisphosphate	MAPK signaling pathway	141	3	3	C00338,C00165,C00575
4	hsa04012	ErbB signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	The ErbB family of receptor tyrosine kinases (RTKs) couples binding of extracellular growth factor ligands to intracellular signaling pathways regulating diverse biologic responses, including proliferation, differentiation, cell motility, and survival. Ligand binding to the four closely related members of this RTK family -epidermal growth factor receptor (EGFR, also known as ErbB-1 or HER1), ErbB-2 (HER2), ErbB-3 (HER3), and ErbB-4 (HER4)-induces the formation of receptor homo- and heterodimers and the activation of the intrinsic kinase domain, resulting in phosphorylation on specific tyrosine residues (pY) within the cytoplasmic tail. Signaling effectors containing binding pockets for pY-containing peptides are recruited to activated receptors and induce the various signaling pathways. The Shc- and/or Grb2-activated mitogen-activated protein kinase (MAPK) pathway is a common target downstream of all ErbB receptors. Similarly, the phosphatidylinositol-3-kinase (PI-3K) pathway is directly or indirectly activated by most ErbBs. Several cytoplasmic docking proteins appear to be recruited by specific ErbB receptors and less exploited by others. These include the adaptors Crk, Nck, the phospholipase C gamma (PLCgamma), the intracellular tyrosine kinase Src, or the Cbl E3 ubiquitin protein ligase.	Calcium cation, Diacylglycerol, D-myo-Inositol 1,4,5-trisphosphate, Phosphatidylinositol-3,4,5-trisphosphate	ErbB signaling pathway	73	0	0	
5	hsa04014	Ras signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	The Ras proteins are GTPases that function as molecular switches for signaling pathways regulating cell proliferation, survival, growth, migration, differentiation or cytoskeletal dynamism. Ras proteins transduce signals from extracellular growth factors by cycling between inactive GDP-bound and active GTP-bound states. The exchange of GTP for GDP on RAS is regulated by guanine nucleotide exchange factors (GEFs) and GTPase-activating proteins (GAPs). Activated RAS (RAS-GTP) regulates multiple cellular functions through effectors including Raf, phosphatidylinositol 3-kinase (PI3K) and Ral guanine nucleotide-dissociation stimulator (RALGDS).	GDP, GTP, Calcium cation, Diacylglycerol, 3',5'-Cyclic AMP, D-myo-Inositol 1,4,5-trisphosphate, Phosphatidylinositol-3,4,5-trisphosphate	Ras signaling pathway	112	6	6	C05981,C00165,C00076,C00165,C00575,C01245
6	hsa04015	Rap1 signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Rap1 is a small GTPase that controls diverse processes, such as cell adhesion, cell-cell junction formation and cell polarity. Like all G proteins, Rap1 cycles between an inactive GDP-bound and an active GTP-bound conformation. A variety of extracellular signals control this cycle through the regulation of several unique guanine nucleotide exchange factors (GEFs) and GTPase activating proteins (GAPs). Rap1 plays a dominant role in the control of cell-cell and cell-matrix interactions by regulating the function of integrins and other adhesion molecules in various cell types. Rap1 also regulates MAP kinase (MAPK) activity in a manner highly dependent on the context of cell types.	GDP, GTP, Calcium cation, Diacylglycerol, 3',5'-Cyclic AMP	Rap1 signaling pathway	88	5	5	C00575,C00165,C00076,C00165,C00076
7	hsa04020	Calcium signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Ca2+ that enters the cell from the outside is a principal source of signal Ca2+. Entry of Ca2+ is driven by the presence of a large electrochemical gradient across the plasma membrane. Cells use this external source of signal Ca2+ by activating various entry channels with widely different properties. The voltage-operated channels (VOCs) are found in excitable cells and generate the rapid Ca2+ fluxes that control fast cellular processes. There are many other Ca2+-entry channels, such as the receptor-operated channels (ROCs), for example the NMDA (N-methyl-D-aspartate) receptors (NMDARs) that respond to glutamate. There also are second-messenger-operated channels (SMOCs) and store-operated channels (SOCs).- The other principal source of Ca2+ for signalling is the internal stores that are located primarily in the endoplasmic/sarcoplasmic reticulum (ER/SR), in which inositol-1,4,5-trisphosphate receptors (IP3Rs) or ryanodine receptors (RYRs) regulate the release of Ca2+. The principal activator of these channels is Ca2+ itself and this process of Ca2+-induced Ca2+ release is central to the mechanism of Ca2+ signalling. Various second messengers or modulators also control the release of Ca2+. IP3, which is generated by pathways using different isoforms of phospholipase C (PLCbeta, delta, epsilon, gamma and zeta), regulates the IP3Rs. Cyclic ADP-ribose (cADPR) releases Ca2+ via RYRs. Nicotinic acid adenine dinucleotide phosphate (NAADP) may activate a distinct Ca2+ release mechanism on separate acidic Ca2+ stores. Ca2+ release via the NAADP-sensitive mechanism may also feedback onto either RYRs or IP3Rs. cADPR and NAADP are generated by CD38. This enzyme might be sensitive to the cellular metabolism, as ATP and NADH inhibit it.- The influx of Ca2+ from the environment or release from internal stores causes a very rapid and dramatic increase in cytoplasmic calcium concentration, which has been widely exploited for signal transduction. Some proteins, such as troponin C (TnC) involved in muscle contraction, directly bind to and sense Ca2+. However, in other cases Ca2+ is sensed through intermediate calcium sensors such as calmodulin (CALM).	ATP, NADH, Calcium cation, Diacylglycerol, 3',5'-Cyclic AMP, D-myo-Inositol 1,4,5-trisphosphate, Sodium cation, Sphingosine 1-phosphate, 1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate, Cyclic ADP-ribose, Nicotinic acid adenine dinucleotide phosphate	Calcium signaling pathway	49	8	8	C00076,C01330,C01330,C00002,C00004,C13051,C00575,C06124
8	hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	Cyclic GMP (cGMP) is the intracellular second messenger that mediates the action of nitric oxide (NO) and natriuretic peptides (NPs), regulating a broad array of physiologic processes. The elevated intracellular cGMP level exerts its physiological action through two forms of cGMP-dependent protein kinase (PKG), cGMP-regulated phosphodiesterases (PDE2, PDE3) and cGMP-gated cation channels, among which PKGs might be the primary mediator. PKG1 isoform-specific activation of established substrates leads to reduction of cytosolic calcium concentration and/or decrease in the sensitivity of myofilaments to Ca2+ (Ca2+-desensitization), resulting in smooth muscle relaxation. In cardiac myocyte, PKG directly phosphorylates a member of the transient potential receptor canonical channel family, TRPC6, suppressing this nonselective ion channel's Ca2+ conductance, G-alpha-q agonist-induced NFAT activation, and myocyte hypertrophic responses. PKG also opens mitochondrial ATP-sensitive K+ (mitoKATP) channels and subsequent release of ROS triggers cardioprotection.	AMP, Hydrogen peroxide, Calcium cation, GMP, Adenosine, Potassium cation, Nitric oxide, 3',5'-Cyclic AMP, 3',5'-Cyclic GMP, D-myo-Inositol 1,4,5-trisphosphate	cGMP-PKG signaling pathway	85	13	13	C00533,C00942,C16003,C16004,C16005,C01245,C00533,C00076,C00306,C00212,C00027,C00144,C00575
9	hsa04024	cAMP signaling pathway - Homo sapiens (human)	Environmental Information Processing; Signal transduction	cAMP is one of the most common and universal second messengers, and its formation is promoted by adenylyl cyclase (AC) activation after ligation of G protein-coupled receptors (GPCRs) by ligands including hormones, neurotransmitters, and other signaling molecules. cAMP regulates pivotal physiologic processes including metabolism, secretion, calcium homeostasis, muscle contraction, cell fate, and gene transcription. cAMP acts directly on three main targets: protein kinase A (PKA), the exchange protein activated by cAMP (Epac), and cyclic nucleotide-gated ion channels (CNGCs). PKA modulates, via phosphorylation, a number of cellular substrates, including transcription factors, ion channels, transporters, exchangers, intracellular Ca2+ -handling proteins, and the contractile machinery. Epac proteins function as guanine nucleotide exchange factors (GEFs) for both Rap1 and Rap2. Various effector proteins, including adaptor proteins implicated in modulation of the actin cytoskeleton, regulators of G proteins of the Rho family, and phospholipases, relay signaling downstream from Rap.	AMP, Succinate, Calcium cation, H+, Diacylglycerol, (S)-Lactate, Adenosine, Potassium cation, HCO3-, 4-Aminobutanoate, Phosphatidate, L-Noradrenaline, 3',5'-Cyclic AMP, Prostaglandin E2, Cl-, Serotonin, L-Adrenaline, (R)-3-Hydroxybutanoate, D-myo-Inositol 1,4,5-trisphosphate, Prostaglandin I2, Sodium cation, Acetylcholine, Dopamine, Oleoylethanolamide, 3-Hydroxyoctanoate	cAMP signaling pathway	127	32	32	C00575,C00076,C03758,C01312,C00780,C01996,C00334,C00788,C00212,C00288,C00076,C16010+C16012+C16013,C15949,C16022+C16021,C00186,C00547,C16048,C15906,C16088+C16089,C18182,C02017,C16119,C20792,C16003,C01089,C20793,C00042,C00584,C00746,C00165,C01245,C00416
10	hsa04062	Chemokine signaling pathway - Homo sapiens (human)	Organismal Systems; Immune system	Inflammatory immune response requires the recruitment of leukocytes to the site of inflammation upon foreign insult. Chemokines are small chemoattractant peptides that provide directional cues for the cell trafficking and thus are vital for protective host response. In addition, chemokines regulate plethora of biological processes of hematopoietic cells to lead cellular activation, differentiation and survival.- The chemokine signal is transduced by chemokine receptors (G-protein coupled receptors) expressed on the immune cells. After receptor activation, the alpha- and beta-gamma-subunits of G protein dissociate to activate diverse downstream pathways resulting in cellular polarization and actin reorganization. Various members of small GTPases are involved in this process. Induction of nitric oxide and production of reactive oxygen species are as well regulated by chemokine signal via calcium mobilization and diacylglycerol production.	Calcium cation, Diacylglycerol, 3',5'-Cyclic AMP, D-myo-Inositol 1,4,5-trisphosphate, Phosphatidylinositol-3,4,5-trisphosphate	Chemokine signaling pathway	59	3	3	C00165,C00076,C01245
